qid,arrival,start,finish,runtime,status,slowdown_pred,raw_score,predicted_slowdown
15697,4777.909,4970.2,5060.2,89.95,ok,1.077,1.077,0.402
11082,4905.741,5028.8,5074.7,45.85,ok,1.241,1.241,0.66
14051,4986.938,5082.8,5102.2,19.3,ok,1.269,1.269,0.871
14674,4954.805,5116.5,5129.9,13.45,ok,1.415,1.415,0.765
9876,5097.57,5121.4,5137.1,15.7,ok,1.047,1.047,1.022
12982,5126.364,5137.1,5155.5,18.45,ok,1.246,1.246,1.179
11968,4972.388,5055.4,5171.0,115.58,ok,0.778,0.778,0.63
9000,5141.93,5155.6,5172.9,17.34,ok,0.705,0.705,0.657
12518,4981.543,5079.1,5181.9,102.8,ok,0.92,0.92,0.691
8812,5147.192,5182.0,5218.4,36.41,ok,1.141,1.141,0.954
7609,5128.056,5130.0,5238.6,108.65,ok,0.523,0.523,0.518
11810,5135.26,5218.4,5241.6,23.16,ok,1.579,1.579,1.031
25577,5199.811,5241.6,5256.4,14.77,ok,1.106,1.106,0.893
26414,5165.215,5173.0,5279.8,106.87,ok,0.423,0.423,0.407
26508,5165.548,5171.1,5287.4,116.33,ok,0.199,0.199,0.193
13237,5192.131,5275.9,5310.0,34.15,ok,1.261,1.261,0.907
14904,5199.689,5336.5,5356.9,20.44,ok,2.645,2.645,1.687
12305,5343.192,5363.7,5381.0,17.31,ok,0.942,0.942,0.878
25279,5229.855,5303.9,5391.0,87.15,ok,0.633,0.633,0.605
17034,5252.452,5378.8,5434.8,55.91,ok,0.913,0.913,0.793
26240,5425.517,5447.9,5462.3,14.42,ok,1.113,1.113,1.062
26749,5306.97,5402.7,5488.2,85.52,ok,0.479,0.479,0.471
26294,5483.023,5488.3,5511.2,22.93,ok,0.547,0.547,0.533
25977,5363.7,5437.3,5511.2,73.92,ok,0.301,0.301,0.276
11555,5390.532,5437.9,5519.4,81.44,ok,0.575,0.575,0.574
17332,5476.152,5511.3,5551.2,39.92,ok,0.787,0.787,0.658
12343,5447.942,5519.5,5553.4,33.96,ok,0.73,0.73,0.506
