qid,arrival,start,finish,runtime,status,predicted_slowdown
11028,5590.47,5599.3,5648.2,48.83,ok,4.467
12950,5530.364,5610.6,5651.8,41.13,ok,5.664
10538,5551.235,5628.3,5657.1,28.75,ok,5.41
25469,5597.278,5613.3,5669.1,55.78,ok,5.345
25409,5641.383,5648.3,5686.9,38.65,ok,3.48
9173,5508.483,5547.0,5704.8,157.83,ok,8.399
12889,5599.392,5644.3,5722.5,78.15,ok,3.386
26517,5675.963,5687.0,5724.8,37.79,ok,7.099
26425,5714.163,5724.8,5739.8,14.95,ok,9.585
26201,5652.8,5657.2,5749.9,92.69,ok,7.293
19186,5635.449,5651.9,5755.6,103.68,ok,10.011
25305,5724.614,5763.1,5793.8,30.7,ok,7.281
25937,5707.331,5754.0,5819.8,65.71,ok,9.719
3924,5729.387,5830.6,5865.0,34.39,ok,7.927
15078,5812.179,5863.3,5890.1,26.81,ok,14.663
16494,5649.438,5789.0,5912.4,123.4,ok,8.866
8793,5868.77,5910.6,5935.8,25.19,ok,13.845
14075,5899.419,5923.7,5937.8,14.02,ok,25.574
23470,5768.893,5876.1,5938.1,61.96,ok,106.077
10948,5933.358,5953.2,5978.3,25.1,ok,17.452
11800,5863.524,5902.8,5980.2,77.46,ok,14.962
13216,5589.961,5781.9,5995.0,213.15,ok,9.851
26027,5923.882,5955.1,5998.5,43.42,ok,15.017
25746,5976.333,5995.1,6022.4,27.33,ok,10.044
11399,5959.413,5984.7,6067.6,82.94,ok,9.819
25259,5934.532,5961.7,6073.3,111.57,ok,13.994
6531,5732.083,5858.9,6087.4,228.43,ok,6.288
17182,5993.165,6004.9,6089.0,84.13,ok,10.838
25712,6028.8,6087.6,6101.5,13.91,ok,5.687
5069,6054.577,6067.9,6101.7,33.85,ok,8.213
26741,6042.443,6073.5,6125.5,52.02,ok,7.799
25324,6049.97,6101.9,6131.8,29.89,ok,9.539
8198,6095.944,6101.7,6138.0,36.28,ok,7.986
10260,5955.578,5986.6,6149.4,162.82,ok,10.302
18604,6000.762,6028.8,6178.6,149.82,ok,9.857
25788,6063.453,6149.6,6179.2,29.57,ok,7.389
11614,5566.65,5689.4,6183.7,494.25,ok,5.191
25934,6056.556,6089.2,6192.7,103.49,ok,8.637
26426,6084.188,6132.0,6193.4,61.44,ok,7.375
25478,6135.025,6192.4,6220.7,28.3,ok,5.85
24675,6144.59,6201.4,6233.2,31.77,ok,5.766
6388,6159.086,6202.1,6247.6,45.53,ok,5.565
3609,5451.864,5655.7,,600,timeout,7.612
26245,6118.174,6188.0,6256.4,68.39,ok,7.315
18656,6088.749,6193.2,6279.8,86.62,ok,6.683
10073,6202.102,6226.6,6281.3,54.72,ok,7.272
14451,6041.023,6167.2,6318.1,150.93,ok,7.919
26813,6237.838,6268.1,6323.1,54.97,ok,6.903
7073,6208.064,6253.7,6340.9,87.2,ok,6.564
26673,6111.208,6154.7,6360.0,205.26,ok,5.689
9547,6252.973,6298.0,6383.6,85.57,ok,6.696
17471,6262.335,6316.2,6402.8,86.67,ok,6.309
15326,6296.163,6344.9,6419.8,74.89,ok,4.455
16115,6280.448,6317.6,6420.4,102.8,ok,7.855
22624,6298.024,6339.9,6423.7,83.8,ok,4.557
16495,6222.191,6298.5,6443.4,144.87,ok,8.594
11964,6381.841,6398.6,6462.9,64.33,ok,8.541
26144,6383.692,6426.1,6481.3,55.17,ok,6.124
26668,6299.289,6392.4,6488.3,95.89,ok,4.412
22566,6399.275,6461.8,6508.6,46.86,ok,6.612
26283,6387.707,6477.6,6557.4,79.83,ok,10.001
10506,6413.611,6474.3,6577.1,102.78,ok,6.3
11778,6458.362,6501.8,6580.6,78.77,ok,12.795
26353,6298.72,6450.8,6623.8,172.98,ok,9.576
26214,6501.178,6536.0,6632.4,96.45,ok,10.78
5794,6406.656,6532.2,6667.6,135.36,ok,12.94
25470,6553.127,6612.2,6683.2,70.97,ok,6.186
26520,6476.247,6547.0,6698.9,151.97,ok,9.385
9421,6487.901,6547.4,6714.3,166.95,ok,7.153
25648,6610.338,6652.1,6726.2,74.06,ok,6.826
26486,6652.305,6667.6,6733.1,65.41,ok,10.632
25824,6595.995,6643.6,6740.3,96.69,ok,7.261
14018,6687.306,6716.1,6758.2,42.05,ok,6.237
2895,6691.346,6736.6,6786.3,49.66,ok,9.04
15077,6674.808,6718.0,6802.6,84.62,ok,8.919
18038,6569.086,6658.7,6828.3,169.63,ok,7.562
25752,6520.63,6635.6,6847.2,211.6,ok,3.875
13640,6698.104,6769.3,6848.5,79.2,ok,6.424
14203,6799.159,6834.6,6895.9,61.34,ok,8.117
26243,6757.496,6828.4,6944.7,116.29,ok,7.285
10322,6814.686,6891.5,6945.7,54.18,ok,8.733
26710,6764.364,6851.5,6974.5,123.01,ok,14.237
15348,6815.623,6892.8,6981.7,88.93,ok,6.525
11729,6657.227,6820.4,6989.3,168.9,ok,9.852
9618,6916.835,6971.9,7024.4,52.52,ok,7.05
14319,6872.193,6943.7,7041.0,97.35,ok,6.221
25885,6944.353,7008.9,7045.9,37.04,ok,6.668
26263,7016.387,7069.3,7110.4,41.08,ok,6.063
10795,6942.91,7017.5,7132.8,115.31,ok,6.524
7559,6947.928,7046.4,7153.3,106.9,ok,5.39
25464,7023.252,7085.8,7165.5,79.72,ok,6.12
17875,7017.166,7090.7,7179.9,89.25,ok,6.705
17970,7117.298,7153.4,7193.7,40.36,ok,4.95
26712,7113.853,7132.9,7207.1,74.2,ok,5.278
5216,7090.657,7110.5,7207.8,97.37,ok,5.75
26637,7155.98,7178.2,7229.0,50.79,ok,5.829
26165,7169.222,7207.5,7247.7,40.23,ok,6.66
6836,7198.355,7240.5,7267.0,26.55,ok,4.003
26321,7143.861,7227.0,7268.9,41.8,ok,5.503
3955,6963.232,7149.9,7343.6,193.72,ok,8.657
26608,7244.001,7355.6,7391.1,35.51,ok,7.947
26368,7220.688,7361.7,7445.1,83.38,ok,6.535
